phage_name,genbank_accession,species,basel_collection
Escherichia phage PaulSarasin,MZ501099,drexlerviridae,True
Escherichia phage PeterMerian,MZ501101,drexlerviridae,True
Escherichia virus JakobBernoulli,MZ501079,drexlerviridae,True
Citrobacter phage Moogle,NC_027293.1,myoviridae_ounavirinae,False
Enterobacteria phage Felix O1,NC_005282.1,myoviridae_ounavirinae,False
Enterobacteria phage IME338,MH051914.1,myoviridae_ounavirinae,False
Enterobacteria phage WV8,EU877232.1,myoviridae_ounavirinae,False
Enterobacteriaphage UAB_Phi87,JN225449.1,myoviridae_ounavirinae,False
Erwinia amylovora phage phiEa104,FQ482083.1,myoviridae_ounavirinae,False
Escherichia phage EC6,JX560968.1,myoviridae_ounavirinae,False
Escherichia phage JH2,KF055347.1,myoviridae_ounavirinae,False
Escherichia phage SUSP1,NC_028808.2,myoviridae_ounavirinae,False
Escherichia phage mistaenkt,MN850587.1,myoviridae_ounavirinae,False
Salmonella phage Mushroom,NC_041923.1,myoviridae_ounavirinae,False
Shigella phage Sf14,NC_042075.1,myoviridae_ounavirinae,False
Escherichia phage JohannRWettstein,MZ501086,myoviridae_ounavirinae,True
Enterobacteria phage ACG-C40,JN986846.1,myoviridae_tevenvirinae,False
Enterobacteria phage AR1,AP011113.1,myoviridae_tevenvirinae,False
Enterobacteria phage Aplg8,KT184308.1,myoviridae_tevenvirinae,False
Enterobacteria phage HX01,JX536493.1,myoviridae_tevenvirinae,False
Enterobacteria phage IME339,MH051915.1,myoviridae_tevenvirinae,False
Enterobacteria phage IME340,MH051916.1,myoviridae_tevenvirinae,False
Enterobacteria phage RB14,NC_012638.1,myoviridae_tevenvirinae,False
Enterobacteria phage RB32,NC_008515.1,myoviridae_tevenvirinae,False
Enterobacteria phage RB51,NC_012635.1,myoviridae_tevenvirinae,False
Enterobacteria phage RB6,KM606996.1,myoviridae_tevenvirinae,False
Enterobacteria phage RB69,NC_004928.1,myoviridae_tevenvirinae,False
Enterobacteria phage T4,NC_000866.4,myoviridae_tevenvirinae,False
Enterobacteria phage T6,MH550421.1,myoviridae_tevenvirinae,False
Enterobacteria phage ime09,JN202312.1,myoviridae_tevenvirinae,False
Escherichia phage APCEc01,NC_029091.1,myoviridae_tevenvirinae,False
Escherichia phage D5505,MK327929.1,myoviridae_tevenvirinae,False
Escherichia phage DalCa,MH992510.1,myoviridae_tevenvirinae,False
Escherichia phage ECML-134,JX128259.1,myoviridae_tevenvirinae,False
Escherichia phage G9062,MK373779.1,myoviridae_tevenvirinae,False
Escherichia phage JS09,NC_024124.2,myoviridae_tevenvirinae,False
Escherichia phage T2,MH751506.1,myoviridae_tevenvirinae,False
Escherichia phage e11/2,NC_024125.2,myoviridae_tevenvirinae,False
Escherichia phage slur08,LN881733.1,myoviridae_tevenvirinae,False
Escherichia phage wV7,HM997020.1,myoviridae_tevenvirinae,False
Shigella phage CM8,MK962750.1,myoviridae_tevenvirinae,False
Shigella phage SH7,KX828711.1,myoviridae_tevenvirinae,False
Shigella phage Sf23,MF158046.1,myoviridae_tevenvirinae,False
Shigella phage Shfl2,NC_015457.1,myoviridae_tevenvirinae,False
Shigella phage pSs-1,NC_025829.1,myoviridae_tevenvirinae,False
Yersinia phage PST,KF208315.1,myoviridae_tevenvirinae,False
Yersinia phage PYPS2T,MH809535.1,myoviridae_tevenvirinae,False
Escherichia phage AdolfPortmann,MZ501046,myoviridae_tevenvirinae,True
Escherichia phage AlbertHofmann,MZ501047,myoviridae_tevenvirinae,True
Escherichia phage AndreasVesalius,MZ501050,myoviridae_tevenvirinae,True
Escherichia phage AugustSocin,MZ501052,myoviridae_tevenvirinae,True
Escherichia phage ChristianSchoenbein,MZ501056,myoviridae_tevenvirinae,True
Escherichia phage FelixPlatter,MZ501065,myoviridae_tevenvirinae,True
Escherichia phage FriedrichMiescher,MZ501066,myoviridae_tevenvirinae,True
Escherichia phage FriedrichZschokke,MZ501067,myoviridae_tevenvirinae,True
Escherichia phage KarlGJung,MZ501089,myoviridae_tevenvirinae,True
Escherichia phage Paracelsus,MZ501096,myoviridae_tevenvirinae,True
Escherichia phage PaulHMueller,MZ501098,myoviridae_tevenvirinae,True
Escherichia phage TadeuszReichstein,MZ501106,myoviridae_tevenvirinae,True
Escherichia phage WilhelmHis,MZ501113,myoviridae_tevenvirinae,True
Enterobacteria phage ECGD1,KU522583.1,myoviridae_vequintavirinae_and_relatives,False
Enterobacteria phage FV3,JQ031132.1,myoviridae_vequintavirinae_and_relatives,False
Enterobacteria phage phi92,NC_023693.1,myoviridae_vequintavirinae_and_relatives,False
Escherichia phage 2 JES-2013,NC_022323.1,myoviridae_vequintavirinae_and_relatives,False
Escherichia phage APCEc02,KR698074.1,myoviridae_vequintavirinae_and_relatives,False
Escherichia phage ESCO5,KX664695.2,myoviridae_vequintavirinae_and_relatives,False
Escherichia phage HdK5,MK373780.1,myoviridae_vequintavirinae_and_relatives,False
Escherichia phage LL12,MH491969.1,myoviridae_vequintavirinae_and_relatives,False
Escherichia phage Murica,NC_041871.1,myoviridae_vequintavirinae_and_relatives,False
Escherichia phage PDX,MG963916.1,myoviridae_vequintavirinae_and_relatives,False
Escherichia phage Pr121LW,MH752840.1,myoviridae_vequintavirinae_and_relatives,False
Escherichia phage Schickermooser,MK373788.1,myoviridae_vequintavirinae_and_relatives,False
Escherichia phage inny,MN850601.1,myoviridae_vequintavirinae_and_relatives,False
Escherichia phage muut,MN850573.1,myoviridae_vequintavirinae_and_relatives,False
Escherichia phage outra,MN850645.1,myoviridae_vequintavirinae_and_relatives,False
Escherichia phage phAPEC8,NC_020079.1,myoviridae_vequintavirinae_and_relatives,False
Escherichia phage rv5,NC_011041.1,myoviridae_vequintavirinae_and_relatives,False
Escherichia phage slur12,LN881735.1,myoviridae_vequintavirinae_and_relatives,False
Escherichia phage ukendt,MN850565.1,myoviridae_vequintavirinae_and_relatives,False
Shigella phage CM1,MK962749.1,myoviridae_vequintavirinae_and_relatives,False
Escherichia phage AlexBoehm,MZ501048,myoviridae_vequintavirinae_and_relatives,True
Escherichia phage CarlMeissner,MZ501054,myoviridae_vequintavirinae_and_relatives,True
Escherichia phage DrSchubert,MZ501060,myoviridae_vequintavirinae_and_relatives,True
Escherichia phage EduardKellenberger,MZ501061,myoviridae_vequintavirinae_and_relatives,True
Escherichia phage EmilHeitz,MZ501062,myoviridae_vequintavirinae_and_relatives,True
Escherichia phage EmilieFrey,MZ501063,myoviridae_vequintavirinae_and_relatives,True
Escherichia phage HeinrichReichert,MZ501073,myoviridae_vequintavirinae_and_relatives,True
Escherichia phage JeffSchatz,MZ501082,myoviridae_vequintavirinae_and_relatives,True
Escherichia phage JohannBauhin,MZ501083,myoviridae_vequintavirinae_and_relatives,True
Escherichia phage JohannJBalmer,MZ501084,myoviridae_vequintavirinae_and_relatives,True
Escherichia phage MaxBurger,MZ501093,myoviridae_vequintavirinae_and_relatives,True
Escherichia phage MaxTheCat,MZ501094,myoviridae_vequintavirinae_and_relatives,True
Escherichia phage PaulScherrer,MZ501100,myoviridae_vequintavirinae_and_relatives,True
Escherichia phage RudolfGeigy,MZ501102,myoviridae_vequintavirinae_and_relatives,True
Escherichia phage WalterGehring,MZ501111,myoviridae_vequintavirinae_and_relatives,True
Achromobacter phage JWAlpha,KF787095.1,schitoviridae,False
Escherichia phage Bp4,KJ135004.2,schitoviridae,False
Escherichia phage ECBP1,JX415535.1,schitoviridae,False
Escherichia phage G7C,HQ259105.1,schitoviridae,False
Escherichia phage IME11,JX880034.1,schitoviridae,False
Escherichia phage PMBT57,MG770228.1,schitoviridae,False
Escherichia phage PhAPEC5,KF192075.1,schitoviridae,False
Escherichia phage PhAPEC7,KF562340.1,schitoviridae,False
Escherichia phage St11Ph5,MG208881.1,schitoviridae,False
Escherichia phage phi G17,MH358458.1,schitoviridae,False
Escherichia virus N4,NC_008720.1,schitoviridae,False
Klebsiella phage KP8,MG922974.1,schitoviridae,False
Pseudomonas phage inbricus,MG018928.1,schitoviridae,False
Shigella phage pSb-1,KF620435.1,schitoviridae,False
Escherichia phage AlfredRasser,MZ501049,schitoviridae,True
Escherichia phage Envy,KX534335.1,siphoviridae_dhillonvirus,False
Escherichia phage HK578,NC_019724.1,siphoviridae_dhillonvirus,False
Escherichia phage PTXU06,MK373789.1,siphoviridae_dhillonvirus,False
Escherichia phage Pride,KX534341.1,siphoviridae_dhillonvirus,False
Escherichia phage WFI,MK373791.1,siphoviridae_dhillonvirus,False
Escherichia phage YD-2008.s,NC_027383.1,siphoviridae_dhillonvirus,False
Escherichia phage bob,MN850628.1,siphoviridae_dhillonvirus,False
Escherichia phage jat,MN850650.1,siphoviridae_dhillonvirus,False
Escherichia phage slur06,LN881731.1,siphoviridae_dhillonvirus,False
Escherichia virus JL1,NC_019419.2,siphoviridae_dhillonvirus,False
Shigella phage EP23,JN984867.1,siphoviridae_dhillonvirus,False
Escherichia phage GeorgBuechner,MZ501070,siphoviridae_dhillonvirus,True
Escherichia phage KarlBarth,MZ501088,siphoviridae_dhillonvirus,True
Escherichia phage Oekolampad,MZ501095,siphoviridae_dhillonvirus,True
