Phage (name),GenBank accession,species
Escherichia phage IME347,MH051918.1,drexlerviridae
Escherichia phage MM01,MK373793.1,drexlerviridae
Shigella phage JK16,MK962751.1,drexlerviridae
Escherichia phage Henu7,MN019128.1,drexlerviridae
Escherichia phage Henu8,MN055691.1,drexlerviridae
Escherichia phage PHB17,MN090155.1,drexlerviridae
Citrobacter phage IMEJL8,MT023084.1,drexlerviridae
Escherichia phage CJ19,MT176427.1,drexlerviridae
Escherichia phage FP,MT682706.1,drexlerviridae
Escherichia phage T1,NC_005833.1,drexlerviridae
Escherichia phage TLS,NC_009540.1,drexlerviridae
Shigella phage Shfl1,NC_015456.1,drexlerviridae
Escherichia phage ACG-M12,NC_019404.1,drexlerviridae
Escherichia phage Rogue1,NC_019718.1,drexlerviridae
Klebsiella phage KP36,NC_019781.1,drexlerviridae
Escherichia phage NBD2,NC_031050.1,drexlerviridae
Escherichia phage SRT8,NC_042043.1,drexlerviridae
Escherichia phage ESCO41,NC_047820.1,drexlerviridae
Escherichia phage IME18,NC_047959.1,drexlerviridae
Escherichia phage LL5,NC_047985.1,drexlerviridae
Escherichia phage IME542,NC_048208.1,drexlerviridae
Escherichia phage G29_2,NC_049822.1,drexlerviridae
Escherichia phage herni,NC_049823.1,drexlerviridae
Escherichia phage WilhelmHis,MZ501113,myoviridae_tevenvirinae
Escherichia phage Paracelsus,MZ501096,myoviridae_tevenvirinae
Escherichia phage KarlGJung,MZ501089,myoviridae_tevenvirinae
Escherichia phage AugustSocin,MZ501052,myoviridae_tevenvirinae
Escherichia phage FriedrichMiescher,MZ501066,myoviridae_tevenvirinae
Escherichia phage FelixPlatter,MZ501065,myoviridae_tevenvirinae
Escherichia phage FriedrichZschokke,MZ501067,myoviridae_tevenvirinae
Escherichia phage AndreasVesalius,MZ501050,myoviridae_tevenvirinae
Escherichia phage TadeuszReichstein,MZ501106,myoviridae_tevenvirinae
Escherichia phage AdolfPortmann,MZ501046,myoviridae_tevenvirinae
Escherichia phage PaulHMueller,MZ501098,myoviridae_tevenvirinae
Escherichia phage ChristianSchoenbein,MZ501056,myoviridae_tevenvirinae
Escherichia phage AlbertHofmann,MZ501047,myoviridae_tevenvirinae
Enterobacteria phage AR1,AP011113.1,myoviridae_tevenvirinae
Escherichia phage wV7,HM997020.1,myoviridae_tevenvirinae
Enterobacteria phage ime09,JN202312.1,myoviridae_tevenvirinae
Enterobacteria phage ACG-C40,JN986846.1,myoviridae_tevenvirinae
Escherichia phage ECML-134,JX128259.1,myoviridae_tevenvirinae
Enterobacteria phage HX01,JX536493.1,myoviridae_tevenvirinae
Yersinia phage PST,KF208315.1,myoviridae_tevenvirinae
Enterobacteria phage RB6,KM606996.1,myoviridae_tevenvirinae
Enterobacteria phage Aplg8,KT184308.1,myoviridae_tevenvirinae
Shigella phage SH7,KX828711.1,myoviridae_tevenvirinae
Escherichia phage slur08,LN881733.1,myoviridae_tevenvirinae
Shigella phage Sf23,MF158046.1,myoviridae_tevenvirinae
Enterobacteria phage IME339,MH051915.1,myoviridae_tevenvirinae
Enterobacteria phage IME340,MH051916.1,myoviridae_tevenvirinae
Enterobacteria phage T6,MH550421.1,myoviridae_tevenvirinae
Escherichia phage T2,MH751506.1,myoviridae_tevenvirinae
Yersinia phage PYPS2T,MH809535.1,myoviridae_tevenvirinae
Escherichia phage DalCa,MH992510.1,myoviridae_tevenvirinae
Escherichia phage D5505,MK327929.1,myoviridae_tevenvirinae
Escherichia phage G9062,MK373779.1,myoviridae_tevenvirinae
Shigella phage CM8,MK962750.1,myoviridae_tevenvirinae
Enterobacteria phage T4,NC_000866.4,myoviridae_tevenvirinae
Enterobacteria phage RB69,NC_004928.1,myoviridae_tevenvirinae
Enterobacteria phage RB32,NC_008515.1,myoviridae_tevenvirinae
Enterobacteria phage RB51,NC_012635.1,myoviridae_tevenvirinae
Enterobacteria phage RB14,NC_012638.1,myoviridae_tevenvirinae
Shigella phage Shfl2,NC_015457.1,myoviridae_tevenvirinae
Escherichia phage JS09,NC_024124.2,myoviridae_tevenvirinae
Escherichia phage e11/2,NC_024125.2,myoviridae_tevenvirinae
Shigella phage pSs-1,NC_025829.1,myoviridae_tevenvirinae
Escherichia phage APCEc01,NC_029091.1,myoviridae_tevenvirinae
Escherichia phage GreteKellenberger,MZ501072,demerecviridae_markadamsvirinae
Escherichia phage TrudiGerster,MZ501108,demerecviridae_markadamsvirinae
Escherichia phage IrmaTschudi,MZ501076,demerecviridae_markadamsvirinae
Escherichia phage SuperGirl,MZ501105,demerecviridae_markadamsvirinae
Escherichia phage TrudiRoth,MZ501109,demerecviridae_markadamsvirinae
Escherichia phage DaisyDussoix,MZ501058,demerecviridae_markadamsvirinae
Escherichia phage IrisVonRoten,MZ501075,demerecviridae_markadamsvirinae
Escherichia phage HildyBeyeler,MZ501074,demerecviridae_markadamsvirinae
Escherichia phage SelmaRatti,MZ501103,demerecviridae_markadamsvirinae
Escherichia virus EPS7,CP000917.1,demerecviridae_markadamsvirinae
Escherichia virus T5,NC_005859.1,demerecviridae_markadamsvirinae
Escherichia phage phiAPCEc03,KR422353.1,demerecviridae_markadamsvirinae
Escherichia phage Gostya9,NC_047979.1,demerecviridae_markadamsvirinae
Escherichia virus H8,NC_042307.1,demerecviridae_markadamsvirinae
Salmonella phage 3-29,MK393882.1,demerecviridae_markadamsvirinae
Salmonella phage 118970_sal2,NC_031933.1,demerecviridae_markadamsvirinae
Salmonella phage NR01,KR233164.1,demerecviridae_markadamsvirinae
Salmonella phage S124,MH370375.1,demerecviridae_markadamsvirinae
Salmonella phage S131,NC_048009.1,demerecviridae_markadamsvirinae
Salmonella phage S132,MH370379.1,demerecviridae_markadamsvirinae
Salmonella phage S133,MH370380.1,demerecviridae_markadamsvirinae
Salmonella phage SE7,MK972708.1,demerecviridae_markadamsvirinae
Salmonella phage SE18,MK972717.1,demerecviridae_markadamsvirinae
Salmonella phage SE24,MK972707.1,demerecviridae_markadamsvirinae
Salmonella phage Seabear,MK728824.1,demerecviridae_markadamsvirinae
Salmonella phage SH9,MF001363.1,demerecviridae_markadamsvirinae
Salmonella virus Stitch,KM236244.1,demerecviridae_markadamsvirinae
Salmonella phage Sw2,MH631454.2,demerecviridae_markadamsvirinae
Escherichia phage ChristophMerian,MZ501057,siphoviridae_queuovirinae_sonagvirus
Escherichia phage FritzHoffmann,MZ501068,siphoviridae_queuovirinae_sonagvirus
Enterobacteria phage JenK1,KP719134.1,siphoviridae_queuovirinae_sonagvirus
Escherichia phage HdK1,MK373794.1,siphoviridae_queuovirinae_sonagvirus
Escherichia phage HdSG1,MK373795.1,siphoviridae_queuovirinae_sonagvirus
Escherichia phage SP8,MT682705.1,siphoviridae_queuovirinae_sonagvirus
Escherichia phage 9g,NC_024146.1,siphoviridae_queuovirinae_sonagvirus
Salmonella phage SE1,NC_042025.1,siphoviridae_queuovirinae_sonagvirus
Escherichia phage CarlMeissner,MZ501054,myoviridae_vequintavirinae_and_relatives
Escherichia phage EmilHeitz,MZ501062,myoviridae_vequintavirinae_and_relatives
Escherichia phage DrSchubert,MZ501060,myoviridae_vequintavirinae_and_relatives
Escherichia phage WalterGehring,MZ501111,myoviridae_vequintavirinae_and_relatives
