Phage (name),GenBank accession
Escherichia phage ChristophMerian,MZ501057
Escherichia phage FritzHoffmann,MZ501068
Enterobacteria phage JenK1,KP719134.1
Escherichia phage HdK1,MK373794.1
Escherichia phage HdSG1,MK373795.1
Escherichia phage SP8,MT682705.1
Escherichia phage 9g,NC_024146.1
Salmonella phage SE1,NC_042025.1
